"","group","count","ec.value","diameter","density","avg_path_length","efficiency","ei","prunk.pu","prunk.dyads","network"
"1","1",155,1.38902034062249,0.651162790697674,1,0.425649129089599,0.225395067232825,0.450790134465651,0,6,"proximity"
"2","6",29,0.443837026268361,0.305084745762712,1,0.216620713437954,0.392771757504104,0.622528506986348,0,3,"proximity"
"3","8",38,0.602941982586283,0.366101694915254,1,0.299811676082862,0.372060913086927,0.589702595226853,0,3,"proximity"
"4","9",78,0.711938369753011,0.272515644555694,1,0.172756777660422,0.156918561380929,0.364353616279687,0,10,"proximity"
"5","10",87,0.971950490825607,0.427241051631295,1,0.203045945119565,0.175623944426814,0.407786170699556,0,10,"proximity"
"6","11",7,0.108597285067873,0.108597285067873,1,0.108597285067873,1,1,0,1,"proximity"
"7","13",64,0.782649493161439,0.388486842105263,0.6,0.241885891742426,0.486549956930077,1.25771339339174,0.4,15,"proximity"
"8","14",115,1.08745974015486,0.281439227731461,0.733333333333333,0.173924790217737,0.216644354342455,0.560017531968192,0.267,15,"proximity"
"9","16",2,0.0310077519379845,0.0310077519379846,1,0.0310077519379846,1,1,0,1,"proximity"
"10","18",58,0.916601254570933,0.451270163237709,0.7,0.315728649918853,0.266106327581851,0.617879758239599,0.3,10,"proximity"
"11","32",21,0.727361600776433,0.462337662337662,1,0.308225108225108,0.387224089242431,0.613735660825155,0,3,"proximity"
"12","33",184,2.0335093659839,0.427347082534341,1,0.299267907936144,0.132042702483959,0.341325434414914,0,15,"proximity"
"13","46",16,0.295890410958904,0.295890410958904,1,0.295890410958904,1,1,0,1,"proximity"
"14","54",13,0.214315256853557,0.132743362831858,1,0.106527081350587,0.371702001358903,0.589133733596865,0,3,"proximity"
"15","70",4,0.521739130434783,0.521739130434783,1,0.521739130434783,1,1,0,1,"proximity"
"16","87",139,1.34584059490483,0.259110723626853,1,0.145488825605844,0.108766781346526,0.305346958969533,0,21,"proximity"
"17","130",27,0.446858593116083,0.313432835820895,0.5,0.219573921869061,0.296964908495968,0.593929816991937,0.5,6,"proximity"
"18","1",68,0.510064622210454,0.277054263565891,1,0.148309103657177,0.101058699673526,0.660838886409259,0,6,"affiliative"
"19","6",23,0.247620833321948,0.206599137498746,1,0.124922703648066,0.0917832818774799,0.600185456401535,0,3,"affiliative"
"20","8",15,0.194683809469138,0.154838709677419,1,0.101281817629549,0.0965662497883534,0.63146204315917,0,3,"affiliative"
"21","9",26,0.208181138437932,0.147276003881521,0.7,0.0739020112506493,0.131233182072552,0.858154618859472,0.1,10,"affiliative"
"22","10",62,0.532830467383856,0.257142857142857,1,0.113715225029943,0.0671284156650594,0.438963370771896,0,10,"affiliative"
"23","11",9,0.121415455791844,0.135746606334842,1,0.122171945701357,0.152924868302832,1,0,1,"affiliative"
"24","13",42,0.458756948145048,0.262264356543533,0.466666666666667,0.130567539701278,0.240510625179386,1.57273717380688,0.533,15,"affiliative"
"25","14",35,0.295591532553768,0.191638919718831,0.533333333333333,0.102206574679724,0.118674076836969,0.776028635198578,0.4,15,"affiliative"
"26","18",34,0.366187171964792,0.278716536928043,0.7,0.133496023218857,0.110429472873558,0.722115860547142,0.3,10,"affiliative"
"27","32",18,0.494591352335732,0.342857142857143,1,0.238543066129273,0.0929980967546997,0.608129323809772,0,3,"affiliative"
"28","33",22,0.179483919297572,0.272442289168632,0.533333333333333,0.1137831570254,0.177884050857212,1.16321205851853,0.267,15,"affiliative"
"29","46",4,0.0657534246575343,0.0657534246575342,1,0.0657534246575342,0.152924868302832,1,0,1,"affiliative"
"30","54",6,0.0602963895333536,0.0816687737041721,0.666666666666667,0.0544458491361148,0.140430269485822,0.91829583405449,0.333,3,"affiliative"
"31","87",63,0.554894697846218,0.204248531950609,0.690476190476191,0.098582456379686,0.0964123217723039,0.630455483416744,0.238,21,"affiliative"
"32","130",7,0.0942889034074736,0.0803844280083263,0.5,0.0471608551191458,0.0923064870609742,0.603606778187199,0.5,6,"affiliative"
"33","1",3,0,0.0596296296296297,0.25,0.0370963682128731,0.152924868302832,1,0.5,6,"agonistic"
"34","6",3,3.46944695195361e-18,0.0641711229946524,0.333333333333333,0.0481283422459893,0.152924868302832,1,0.667,3,"agonistic"
"35","8",1,0,0.0387096774193547,0.166666666666667,0.0387096774193547,0,0,0.667,3,"agonistic"
"36","9",9,0.0399307358787697,0.180150187734669,0.25,0.0882198902474247,0.229387302454248,1.5,0.6,10,"agonistic"
"37","10",5,0,0.127367294627081,0.2,0.0677657691026734,0.0912225399784132,0.596518676071495,0.6,10,"agonistic"
"38","11",3,0.0383949383449709,0.0542986425339367,1,0.0407239819004525,0.152924868302832,1,0,1,"agonistic"
"39","13",1,0,0.0476190476190477,0.0333333333333333,0.0476190476190477,0,0,0.933,15,"agonistic"
"40","14",1,0,0.0392156862745099,0.0333333333333333,0.0392156862745099,0,0,0.933,15,"agonistic"
"41","18",7,0,0.17676035931614,0.2,0.109377636111916,0.152924868302832,1,0.7,10,"agonistic"
"42","32",1,0,0.0727272727272728,0.166666666666667,0.0727272727272728,0,0,0.667,3,"agonistic"
"43","33",2,0,0.0641711229946524,0.0666666666666667,0.0596084972771427,0,0,0.867,15,"agonistic"
"44","46",1,0,0.032876712328767,0.5,0.032876712328767,0,0,0,1,"agonistic"
"45","54",2,0.0265486725663717,0.0265486725663717,0.333333333333333,0.0265486725663717,0.152924868302832,1,0.667,3,"agonistic"
"46","87",1,0,0.064516129032258,0.0238095238095238,0.064516129032258,0,0,0.952,21,"agonistic"
